name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,
Missouri,MO,74.9,60.9,65.1,82.5,117.6,66.6,92.1,143,189,84.2,44,161.7,125.4,268.5,,"1,399.20","1,495.00","1,363.00","1,755.30","1,826.20","1,670.30","1,919.20","2,632.70","3,534.00","3,208.00","3,524.50","3,906.10","3,934.50","4,053.40"
Montana,MT,256.3,210.7,258.2,252.6,420.4,385.7,401.4,650.6,781.8,472.2,646.6,"1,198.10",739.5,961.2,,516.6,475.1,515.6,534.3,640.2,651.5,681.8,969.7,"1,214.30",871.5,"1,154.70","1,782.20","1,325.70","1,673.10"
Nebraska,NE,108.5,91.1,125.3,130.6,142.9,139.1,146.2,347.2,335.8,177.2,198.4,292.3,252.5,200.1,,"2,229.60","2,414.70","2,436.50","2,780.00","2,346.50","2,468.70","3,016.40","4,135.00","5,426.70","4,847.20","5,568.90","6,927.70","6,604.80","6,620.30"
Nevada,NV,2.1,1.2,0.8,1,2,1.8,2.2,5.2,5.5,2.3,2.1,5.4,4.2,6.2,,74.5,78,64,66.2,61.8,70.2,86.5,99,124.1,106.1,120.1,158.7,168.9,183.9
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.8,40.8,39.2,43.2,45.3,45.1,50.7,61.5,85.4,74.8,78.7,83.3,83.8,94.8
New Jersey,NJ,2.2,2.1,3.4,2.1,2.6,2.1,2.9,5.5,9.3,3.1,3,6.7,4.3,7.2,,294.3,295.5,296.4,311.5,314,339.4,394.7,460.3,486.4,451.6,481.5,548.7,580.3,638.4
New Mexico,NM,7.6,12.4,9.5,8.1,18.9,19.9,11.5,30.3,25.3,7.8,19.6,13.9,9.6,19.4,,314,324.1,288,311.8,311.6,351.5,385.7,494.3,559.5,467.8,664.9,783.2,710.3,807.7
New York,NY,8.5,10.4,13.9,11.4,12.5,9.3,12.6,19.8,35.8,16.2,23.4,29.9,21.1,36.9,,550.4,561,549.2,534,583.4,630.7,733.3,931,"1,409.80","1,132.70","1,358.50","1,553.50","1,624.20","1,795.00"
North Carolina,NC,38.7,33.1,34.2,28.9,55,48.1,56.4,79.1,169.4,70.9,40.9,200.3,147.7,240.4,,"1,491.60","1,628.90","1,363.40","1,496.50","1,795.30","1,759.90","1,917.10","2,138.40","2,948.90","2,695.90","2,846.50","3,462.10","3,817.50","3,717.10"
North Dakota,ND,463.5,486.4,525.1,541.3,719.1,654.2,600.3,"1,346.50","1,591.90",915.6,"1,237.10","1,664.50","1,161.60","1,271.10",,"1,073.40","1,168.30","1,310.70","1,474.90","1,508.70","1,502.00","1,643.00","2,804.10","3,601.60","2,693.50","3,451.50","3,779.00","4,370.30","4,091.10"
Ohio,OH,85.9,101.4,99.3,111.8,127.3,104,127.4,167.5,297.2,128,136.1,207.4,130.2,245.9,,"1,542.50","1,614.90","1,469.30","1,623.10","1,813.10","1,715.90","1,980.30","2,543.90","3,301.50","3,066.50","3,556.00","3,965.40","4,471.50","4,393.50"
Oklahoma,OK,199.9,180.4,225.3,251.3,355.2,296.2,200.5,416,764.9,223.9,328.6,324.8,552,510.9,,814.9,789.6,829,936.9,961.8,"1,013.40",909.7,"1,230.30","1,772.50","1,156.10","1,577.40","1,690.60","1,866.10","1,940.20"
Oregon,OR,80.7,73.3,69.8,95,152.5,100.6,101.5,196.6,250.5,137.6,186.3,320.3,230.9,297,,968.8,"1,023.90",948,"1,082.80","1,164.70","1,167.80","1,452.30","1,649.90","1,777.90","1,454.10","1,540.40","1,973.30","1,993.30","2,295.90"
Pennsylvania,PA,11.8,13.6,18.5,13.8,15.6,13.4,18.5,35.4,45.7,18.8,22.2,41,31.5,51.4,,804.8,848.6,792.6,835.9,948.2,937.3,"1,029.90","1,289.90","1,818.70","1,516.50","1,876.00","2,082.30","2,340.20","2,535.00"
Rhode Island,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16.4,20.1,20.3,22.3,23.8,24,26.5,28,37.2,33.7,35.6,36.7,37.1,40.3
South Carolina,SC,13,15,12.7,13.8,20.8,17.5,16,17.6,46.3,17.7,14.7,55.3,38.4,61.3,,341.2,370.9,320,396,439,429,482.7,522,709.1,634.8,727.5,908.7,935.7,913.4
South Dakota,SD,182.8,138.7,118.1,185.4,272.8,288.6,240.1,520.8,833.7,366.8,384.8,704.5,390.5,421.4,,"1,183.20","1,181.00","1,148.20","1,326.00","1,336.40","1,349.90","1,386.00","2,180.00","3,361.40","2,762.00","2,921.90","3,704.40","3,671.90","3,757.30"
Tennessee,TN,29,31.1,26.9,25.6,35.4,17.9,26,40.7,124.8,41.1,28.3,100,67.1,190.2,,486.6,609.4,592.2,811.1,702.9,722,786,933,"1,191.50","1,182.40","1,225.70","1,475.60","1,568.10","1,877.60"
Texas,TX,109.9,169.8,138.3,143.5,235,172.5,108.6,504.5,603.7,122.4,321.2,309.7,305.9,329,,"2,721.20","2,906.60","2,802.30","3,312.70","3,631.60","3,684.40","4,211.40","5,085.00","5,736.50","4,201.40","5,988.80","6,955.90","6,790.70","5,748.20"
Utah,UT,11.2,11.1,9.3,9.4,14.2,13.4,14.8,23.8,34.1,20.4,28.3,42.8,28.2,34.4,,178.7,190.8,182.1,198.2,189.9,217.2,247.1,300.6,387,277.9,370.4,494.8,493.4,530.5
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54.3,54.4,53.5,57.4,61.6,65.9,74.4,97.7,174.6,139.7,170.3,200.6,203.8,254.6
Virginia,VA,17.7,17.5,19.7,14.4,24,19.6,23.1,48.6,83.4,28,25,77.5,53.1,87.8,,470.8,467.2,460.4,543.7,522.7,530.6,572.1,694.4,915.3,803.4,850.5,"1,104.60","1,180.00","1,194.00"
Washington,WA,238.2,271.8,286.1,290.2,392.1,282,301.9,569.2,553,324.2,481.4,786.3,547.4,705.8,,"1,436.50","1,527.90","1,525.70","1,694.90","1,755.40","1,783.20","2,048.10","2,608.90","3,050.10","2,645.50","3,050.30","3,899.60","4,028.40","4,505.90"
West Virginia,WV,0.6,0.7,0.6,0.6,0.6,0.6,0.7,1.4,1.9,0.6,0.8,1.6,0.9,1.7,,62.6,67.6,58.2,61.6,55.2,63.5,68.9,81.7,110.6,107.3,114.4,136,159.2,165.4
Wisconsin,WI,12,17.7,24.5,22.3,30.7,20.8,37.2,69,82.9,39.8,45.9,96.7,66.3,74.1,,952.7,999.3,"1,052.40","1,153.20","1,188.10","1,253.50","1,586.20","1,906.90","2,496.10","1,953.60","2,535.60","3,083.60","3,231.20","3,219.80"
Wyoming,WY,7.5,6.3,5.5,6.6,9.7,8.7,9.3,14.2,17.6,10.7,13.2,20.7,11.9,14.9,,156.7,168.7,143.4,152,114.6,118.7,140.7,163.7,247.6,228.5,281.7,383.1,376.8,415.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,
Alabama,AL,0.011663933,0.009649984,0.00907441,0.007865008,0.010046696,0.005880781,0.008388521,0.013953488,0.053374344,0.018933386,0.012950552,0.049053959,0.02551377,0.058706786,,,,,,,,,,,,,,,
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Arizona,AZ,0.025987526,0.031047865,0.034727703,0.042388167,0.041841655,0.024092802,0.023534269,0.035432621,0.07902054,0.050371402,0.023672425,0.031609009,0.034686459,0.031856142,,,,,,,,,,,,,,,
Arkansas,AR,0.061318267,0.053598664,0.049558824,0.029147863,0.039952327,0.010115533,0.017354733,0.035371228,0.06482925,0.013875598,0.006664104,0.031843591,0.025950587,0.046352207,,,,,,,,,,,,,,,
California,CA,0.006773884,0.007597669,0.010949859,0.008029011,0.012117295,0.005363945,0.006483943,0.01030549,0.018107789,0.009721831,0.008471908,0.01530274,0.008298161,0.010231216,,,,,,,,,,,,,,,
Colorado,CO,0.131460551,0.114854842,0.115828481,0.13633828,0.15460441,0.134352941,0.100579884,0.247440401,0.194867279,0.159712007,0.188562791,0.206763036,0.155548217,0.131532033,,,,,,,,,,,,,,,
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Delaware,DE,0.03460972,0.037623762,0.062244062,0.027386541,0.042415528,0.041780822,0.04628331,0.080128205,0.104149378,0.029361702,0.034382767,0.080890145,0.062792877,0.081740277,,,,,,,,,,,,,,,
Florida,FL,0.000282433,0.000236742,0.000198226,0.000332068,0.000718942,0.000341355,0.000194197,0.000410439,0.000857988,0.000349262,0.000232376,0.00044685,0.000443208,0.001011099,,,,,,,,,,,,,,,
Georgia,GA,0.014889877,0.01806796,0.01723301,0.018035883,0.017401297,0.011251417,0.009740005,0.021182204,0.046035297,0.011816588,0.005717916,0.02288794,0.015049728,0.033200755,,,,,,,,,,,,,,,
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Idaho,ID,0.223874905,0.199724345,0.228512296,0.193399255,0.28473886,0.237602366,0.201603206,0.269783352,0.244058501,0.197772657,0.210246914,0.253208556,0.191164327,0.194208494,,,,,,,,,,,,,,,
Illinois,IL,0.025755085,0.018377731,0.020388977,0.024381664,0.031940125,0.01996511,0.031078219,0.032044515,0.034999872,0.016720464,0.007756053,0.026432342,0.014280178,0.035848128,,,,,,,,,,,,,,,
Indiana,IN,0.023798441,0.021095559,0.017279698,0.02480916,0.029952731,0.027075169,0.019709195,0.028701623,0.028497351,0.018777133,0.011738794,0.023132178,0.015269929,0.027863777,,,,,,,,,,,,,,,
Iowa,IA,0.000381198,0.000449805,0.000447984,0.00053108,0.000757271,0.000385584,0.000476817,0.000639619,0.000589598,0.000241074,0.000170683,0.000282867,0.000184643,0.000363055,,,,,,,,,,,,,,,
Kansas,KS,0.278286512,0.266587443,0.305530864,0.3383393,0.361562179,0.361967393,0.282239795,0.353493191,0.35646592,0.229369936,0.238519564,0.308792969,0.284343389,0.311281463,,,,,,,,,,,,,,,
Kentucky,KY,0.034180186,0.042537153,0.041246889,0.04091004,0.053004966,0.039908893,0.042034647,0.038427234,0.098178397,0.041656105,0.039556563,0.097112007,0.058668948,0.102989867,,,,,,,,,,,,,,,
Louisiana,LA,0.020896426,0.021656245,0.025689223,0.013912209,0.024694289,0.012039402,0.014201593,0.035804977,0.056666441,0.01715291,0.009610904,0.039189324,0.021575278,0.031724373,,,,,,,,,,,,,,,
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Maryland,MD,0.036908264,0.044393709,0.06329849,0.031871253,0.057753393,0.048895434,0.052891203,0.091270718,0.090306947,0.028439153,0.037907268,0.076679951,0.062650024,0.105706152,,,,,,,,,,,,,,,
Massachussetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Michigan,MI,0.045982769,0.059019515,0.05363806,0.06980168,0.068027211,0.058160142,0.054639175,0.071004376,0.069699281,0.038006876,0.047449943,0.076234568,0.050486094,0.058089172,,,,,,,,,,,,,,,
Minnesota,MN,0.063441573,0.068985127,0.063797314,0.056899405,0.082383176,0.060973467,0.051150249,0.069812019,0.078885594,0.042696629,0.041360211,0.075186184,0.032179187,0.04727765,,,,,,,,,,,,,,,
Mississippi,MS,0.023664728,0.023448437,0.017666959,0.010363146,0.015599966,0.006344951,0.008310494,0.041632819,0.059685097,0.014628094,0.007600495,0.047029589,0.024380591,0.04628481,,,,,,,,,,,,,,,
Missouri,MO,0.053530589,0.040735786,0.047762289,0.047000513,0.064396014,0.039873077,0.047988745,0.054316861,0.053480475,0.026246883,0.01248404,0.04139679,0.031871902,0.066240687,,,,,,,,,,,,,,,
Montana,MT,0.496128533,0.443485582,0.500775795,0.472768108,0.656669791,0.592018419,0.5887357,0.670929153,0.64382772,0.541824441,0.559972287,0.672259006,0.557818511,0.574502421,,,,,,,,,,,,,,,
Nebraska,NE,0.048663437,0.037727254,0.051426226,0.046978417,0.060899212,0.056345445,0.048468373,0.083966143,0.061879227,0.036557188,0.035626425,0.042192936,0.038229772,0.030225216,,,,,,,,,,,,,,,
Nevada,NV,0.028187919,0.015384615,0.0125,0.01510574,0.03236246,0.025641026,0.025433526,0.052525253,0.044319098,0.021677663,0.017485429,0.034026465,0.024866785,0.033713975,,,,,,,,,,,,,,,
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
New Jersey,NJ,0.007475365,0.007106599,0.011470985,0.006741573,0.008280255,0.00618739,0.007347352,0.011948729,0.019120066,0.006864482,0.00623053,0.01221068,0.00740996,0.011278195,,,,,,,,,,,,,,,
New Mexico,NM,0.024203822,0.038259796,0.032986111,0.025978191,0.060654685,0.056614509,0.029815919,0.061298806,0.045218945,0.016673792,0.029478117,0.017747702,0.013515416,0.024018819,,,,,,,,,,,,,,,
New York,NY,0.015443314,0.018538324,0.025309541,0.021348315,0.021426123,0.014745521,0.017182599,0.021267454,0.025393673,0.01430211,0.01722488,0.019246862,0.012991011,0.020557103,,,,,,,,,,,,,,,
North Carolina,NC,0.025945294,0.020320462,0.025084348,0.019311727,0.030635548,0.027331098,0.029419436,0.036990273,0.057445149,0.026299195,0.014368523,0.057855059,0.038690242,0.064674074,,,,,,,,,,,,,,,
North Dakota,ND,0.431805478,0.416331422,0.40062562,0.367007933,0.476635514,0.435552597,0.365368229,0.480189722,0.441998001,0.33992946,0.358423874,0.440460439,0.26579411,0.310698834,,,,,,,,,,,,,,,
Ohio,OH,0.055688817,0.062790266,0.067583203,0.068880537,0.07021124,0.060609593,0.064333687,0.065843783,0.090019688,0.041741399,0.038273341,0.052302416,0.029117746,0.055969045,,,,,,,,,,,,,,,
Oklahoma,OK,0.245306173,0.228470111,0.271773221,0.268224997,0.369307548,0.292283402,0.22040233,0.338128912,0.431537377,0.193668368,0.208317484,0.19212114,0.295804083,0.263323369,,,,,,,,,,,,,,,
Oregon,OR,0.083298927,0.071589022,0.073628692,0.087735501,0.130935005,0.086144888,0.069889141,0.119158737,0.140896563,0.09462898,0.120942612,0.162316931,0.115838057,0.129361035,,,,,,,,,,,,,,,
Pennsylvania,PA,0.014662028,0.016026396,0.023340903,0.016509152,0.016452225,0.014296383,0.017962909,0.027443988,0.025127839,0.012396967,0.011833689,0.019689766,0.013460388,0.020276134,,,,,,,,,,,,,,,
Rhode Island,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
South Carolina,SC,0.038100821,0.040442168,0.0396875,0.034848485,0.04738041,0.040792541,0.033146882,0.033716475,0.065294035,0.027882798,0.020206186,0.060856168,0.041038794,0.06711189,,,,,,,,,,,,,,,
South Dakota,SD,0.154496281,0.117442845,0.102856645,0.139819005,0.2041305,0.213793614,0.173232323,0.238899083,0.248021658,0.132802317,0.13169513,0.190179246,0.106348212,0.112155005,,,,,,,,,,,,,,,
Tennessee,TN,0.059597205,0.051033804,0.045423843,0.031562076,0.050362783,0.024792244,0.03307888,0.043622722,0.104741922,0.034759811,0.023088847,0.067769043,0.042790638,0.101299531,,,,,,,,,,,,,,,
Texas,TX,0.040386594,0.058418771,0.049352318,0.043318139,0.06470977,0.046819021,0.025787149,0.099213373,0.105238386,0.029133146,0.053633449,0.044523354,0.045046902,0.057235308,,,,,,,,,,,,,,,
Utah,UT,0.062674874,0.058176101,0.05107084,0.047426842,0.074776198,0.061694291,0.059894779,0.079174983,0.088113695,0.073407701,0.076403888,0.086499596,0.057154439,0.064844486,,,,,,,,,,,,,,,
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Virginia,VA,0.037595582,0.037457192,0.042788879,0.026485194,0.045915439,0.036939314,0.040377556,0.069988479,0.091117666,0.03485188,0.029394474,0.070161144,0.045,0.073534338,,,,,,,,,,,,,,,
Washington,WA,0.165819701,0.177891223,0.187520482,0.171219541,0.223367893,0.158142665,0.147404912,0.218176243,0.181305531,0.122547723,0.157820542,0.201636065,0.135885215,0.156639073,,,,,,,,,,,,,,,
West Virginia,WV,0.009584665,0.01035503,0.010309278,0.00974026,0.010869565,0.009448819,0.010159652,0.017135863,0.017179024,0.005591799,0.006993007,0.011764706,0.005653266,0.010278114,,,,,,,,,,,,,,,
Wisconsin,WI,0.01259578,0.017712399,0.023280122,0.019337496,0.025839576,0.016593538,0.023452276,0.036184383,0.03321181,0.020372645,0.018102224,0.03135945,0.020518693,0.023013852,,,,,,,,,,,,,,,
Wyoming,WY,0.085138444,0.082537913,0.084797657,0.080425934,0.112673198,0.094114493,0.083393049,0.116550103,0.12343831,0.071066276,0.077229613,0.101609712,0.075390737,0.090820798,,,,,,,,,,,,,,,
