name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,
Missouri,MO,164.1,183.3,139.1,179.5,216,170.9,223,349.4,455.4,289.4,311.4,428.8,248.2,167.9,,"1,399.20","1,495.00","1,363.00","1,755.30","1,826.20","1,670.30","1,919.20","2,632.70","3,534.00","3,208.00","3,524.50","3,906.10","3,934.50","4,053.40"
Montana,MT,1.1,1.1,0.9,1,1.3,1,1.5,3,4.9,2.7,3.8,5.4,4.2,3.4,,516.6,475.1,515.6,534.3,640.2,651.5,681.8,969.7,"1,214.30",871.5,"1,154.70","1,782.20","1,325.70","1,673.10"
Nebraska,NE,507.6,497.1,554.1,538.7,625.9,535.7,759.2,"1,094.60","1,473.00","1,024.00","1,123.70","1,735.90","1,078.70",765.7,,"2,229.60","2,414.70","2,436.50","2,780.00","2,346.50","2,468.70","3,016.40","4,135.00","5,426.70","4,847.20","5,568.90","6,927.70","6,604.80","6,620.30"
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,74.5,78,64,66.2,61.8,70.2,86.5,99,124.1,106.1,120.1,158.7,168.9,183.9
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.8,40.8,39.2,43.2,45.3,45.1,50.7,61.5,85.4,74.8,78.7,83.3,83.8,94.8
New Jersey,NJ,1.9,2.9,2,2,3.8,3.1,4.2,7.3,9.7,5.9,7,10.1,7.6,5.2,,294.3,295.5,296.4,311.5,314,339.4,394.7,460.3,486.4,451.6,481.5,548.7,580.3,638.4
New Mexico,NM,6.5,4.7,4.4,4.4,5.2,4.2,5,7,12.3,8.5,9.3,11.2,6.7,4.1,,314,324.1,288,311.8,311.6,351.5,385.7,494.3,559.5,467.8,664.9,783.2,710.3,807.7
New York,NY,15.8,15.2,17.8,17.8,24.6,20.7,30.5,54.9,90.2,65.6,70.1,106.1,68.7,50.9,,550.4,561,549.2,534,583.4,630.7,733.3,931,"1,409.80","1,132.70","1,358.50","1,553.50","1,624.20","1,795.00"
North Carolina,NC,34.4,44.6,35.1,44.5,59.1,45.1,68.7,100.2,100.6,61.8,69.3,92.2,81.9,59.1,,"1,491.60","1,628.90","1,363.40","1,496.50","1,795.30","1,759.90","1,917.10","2,138.40","2,948.90","2,695.90","2,846.50","3,462.10","3,817.50","3,717.10"
North Dakota,ND,43,37,52.1,54,71.1,49.8,94.6,145.9,272.9,164.5,149.9,236.1,213.1,183.7,,"1,073.40","1,168.30","1,310.70","1,474.90","1,508.70","1,502.00","1,643.00","2,804.10","3,601.60","2,693.50","3,451.50","3,779.00","4,370.30","4,091.10"
Ohio,OH,223.9,222.3,196.9,190,277.3,196,335.4,395.6,534.1,335.7,396.9,535.1,392.8,292.1,,"1,542.50","1,614.90","1,469.30","1,623.10","1,813.10","1,715.90","1,980.30","2,543.90","3,301.50","3,066.50","3,556.00","3,965.40","4,471.50","4,393.50"
Oklahoma,OK,19.2,13.9,9.9,10.2,16,14.5,16.3,25,38.4,24.5,27.4,27.5,17.5,21.6,,814.9,789.6,829,936.9,961.8,"1,013.40",909.7,"1,230.30","1,772.50","1,156.10","1,577.40","1,690.60","1,866.10","1,940.20"
Oregon,OR,2.8,2,1.7,2.3,2.9,1.9,2.9,4.8,6.5,4.6,6.5,11.7,8.7,4.4,,968.8,"1,023.90",948,"1,082.80","1,164.70","1,167.80","1,452.30","1,649.90","1,777.90","1,454.10","1,540.40","1,973.30","1,993.30","2,295.90"
Pennsylvania,PA,39.8,41.7,32.4,32.9,73.7,43.8,78,109.1,127.3,72.6,115.6,112.1,101.1,68.1,,804.8,848.6,792.6,835.9,948.2,937.3,"1,029.90","1,289.90","1,818.70","1,516.50","1,876.00","2,082.30","2,340.20","2,535.00"
Rhode Island,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16.4,20.1,20.3,22.3,23.8,24,26.5,28,37.2,33.7,35.6,36.7,37.1,40.3
South Carolina,SC,8.3,10.4,8.1,9.1,15.2,12.6,18.8,30.3,29.3,23.9,29.1,32.1,28.5,20.1,,341.2,370.9,320,396,439,429,482.7,522,709.1,634.8,727.5,908.7,935.7,913.4
South Dakota,SD,154.8,161.5,178.3,172.6,231.6,186.9,223.5,326.1,601.4,424.2,402.2,643.6,441.4,305.7,,"1,183.20","1,181.00","1,148.20","1,326.00","1,336.40","1,349.90","1,386.00","2,180.00","3,361.40","2,762.00","2,921.90","3,704.40","3,671.90","3,757.30"
Tennessee,TN,32.6,41.5,38.8,44.2,52.6,36.2,44.4,70.8,75.6,56.6,54.5,88.8,66.9,60.3,,486.6,609.4,592.2,811.1,702.9,722,786,933,"1,191.50","1,182.40","1,225.70","1,475.60","1,568.10","1,877.60"
Texas,TX,129.6,90.6,76.4,101.7,165.8,94.4,163.4,211,325.2,199,248,167.2,186.1,125.4,,"2,721.20","2,906.60","2,802.30","3,312.70","3,631.60","3,684.40","4,211.40","5,085.00","5,736.50","4,201.40","5,988.80","6,955.90","6,790.70","5,748.20"
Utah,UT,1.5,1.2,1.1,1.1,1.1,0.8,1.3,2.2,3.3,2.3,2.9,5.3,4.4,3.4,,178.7,190.8,182.1,198.2,189.9,217.2,247.1,300.6,387,277.9,370.4,494.8,493.4,530.5
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54.3,54.4,53.5,57.4,61.6,65.9,74.4,97.7,174.6,139.7,170.3,200.6,203.8,254.6
Virginia,VA,17.7,20.6,14.4,16.6,28.6,21.1,24.8,29.3,37,26.9,21.8,39.5,28.1,17.7,,470.8,467.2,460.4,543.7,522.7,530.6,572.1,694.4,915.3,803.4,850.5,"1,104.60","1,180.00","1,194.00"
Washington,WA,10,7.9,7,7.5,10.1,8.4,9.6,17.4,25.8,17.3,22.5,29.5,18.5,11.8,,"1,436.50","1,527.90","1,525.70","1,694.90","1,755.40","1,783.20","2,048.10","2,608.90","3,050.10","2,645.50","3,050.30","3,899.60","4,028.40","4,505.90"
West Virginia,WV,1.4,1.8,1.6,1.6,2,1.6,1.9,2.4,3.2,2.4,2.5,3.5,3,2.4,,62.6,67.6,58.2,61.6,55.2,63.5,68.9,81.7,110.6,107.3,114.4,136,159.2,165.4
Wisconsin,WI,166.8,132.8,165.9,166.9,179.4,145.7,282.4,287.5,361.5,196.2,291.6,460.5,302.3,199.6,,952.7,999.3,"1,052.40","1,153.20","1,188.10","1,253.50","1,586.20","1,906.90","2,496.10","1,953.60","2,535.60","3,083.60","3,231.20","3,219.80"
Wyoming,WY,3.7,3.5,2.6,2.7,3.5,2.8,3.7,5.3,6.3,4.6,5.5,9,6.9,3.7,,156.7,168.7,143.4,152,114.6,118.7,140.7,163.7,247.6,228.5,281.7,383.1,376.8,415.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,
Alabama,AL,0.010570439,0.010631338,0.015930631,0.014157014,0.019102873,0.012563486,0.012950699,0.020685435,0.028044147,0.021015067,0.023455896,0.024456903,0.017195582,0.009411012,,,,,,,,,,,,,,,
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Arizona,AZ,0.006860707,0.006683915,0.005524862,0.004148629,0.003733084,0.002825699,0.002890173,0.003314665,0.003498072,0.003017642,0.003747372,0.004738106,0.004241139,0.002693966,,,,,,,,,,,,,,,
Arkansas,AR,0.007608286,0.010095141,0.013308824,0.013007698,0.015908384,0.009242619,0.009184956,0.021697367,0.026149366,0.01657553,0.014609765,0.019328643,0.019023926,0.019129875,,,,,,,,,,,,,,,
California,CA,0.002506194,0.002297292,0.002159708,0.001615982,0.001696421,0.001127055,0.001146551,0.002020856,0.003173113,0.002167994,0.002108824,0.002123846,0.001334349,0.000831639,,,,,,,,,,,,,,,
Colorado,CO,0.090420279,0.085399449,0.082265749,0.067946,0.094422827,0.085764706,0.091981604,0.077049548,0.0886275,0.075404506,0.082567074,0.094579246,0.067811537,0.038495822,,,,,,,,,,,,,,,
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Delaware,DE,0.072901325,0.075907591,0.07043407,0.069640063,0.0891445,0.065068493,0.093267882,0.082264957,0.081742739,0.06212766,0.076222038,0.095019428,0.058731646,0.031641397,,,,,,,,,,,,,,,
Florida,FL,0.000564865,0.000473485,0.000743347,0.000759013,0.000814801,0.000469363,0.000621432,0.000786674,0.001035503,0.000825528,0.00066808,0.000868874,0.00083717,0.000689386,,,,,,,,,,,,,,,
Georgia,GA,0.013855858,0.013242994,0.019174757,0.015864023,0.01756546,0.010037235,0.011860812,0.028430392,0.025503356,0.021654322,0.017562171,0.020228179,0.01827735,0.014426318,,,,,,,,,,,,,,,
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Idaho,ID,0.005847953,0.005387796,0.004139274,0.004494671,0.006229037,0.005914468,0.005911824,0.007677689,0.010786106,0.007603687,0.008703704,0.010695187,0.008991651,0.005559846,,,,,,,,,,,,,,,
Illinois,IL,0.251716468,0.248757857,0.25577296,0.229366239,0.265956886,0.254146706,0.282916498,0.315328049,0.298692962,0.225856293,0.212818853,0.263201408,0.168391014,0.101298406,,,,,,,,,,,,,,,
Indiana,IN,0.21785174,0.228728225,0.22074675,0.180885084,0.231197641,0.195786045,0.236846529,0.25907408,0.246691467,0.175401433,0.172661028,0.227912828,0.127730351,0.085683206,,,,,,,,,,,,,,,
Iowa,IA,0.227575287,0.213910208,0.241936287,0.226143633,0.252715526,0.208668829,0.256680208,0.256356209,0.264005544,0.203237627,0.187057958,0.230838017,0.152268911,0.109554228,,,,,,,,,,,,,,,
Kansas,KS,0.119923431,0.097098435,0.098962963,0.071858902,0.102980473,0.088961958,0.119256251,0.112344583,0.109010271,0.09489554,0.109576955,0.098991255,0.068280347,0.041628941,,,,,,,,,,,,,,,
Kentucky,KY,0.071319253,0.086258884,0.09173877,0.073575454,0.095267052,0.082293523,0.092476223,0.10747733,0.136235354,0.100042248,0.102880658,0.116495382,0.06588034,0.040583927,,,,,,,,,,,,,,,
Louisiana,LA,0.033010297,0.037974684,0.060463659,0.045094747,0.044164787,0.027727107,0.030135088,0.077789064,0.06337694,0.041489518,0.038560112,0.045513395,0.034812512,0.027375064,,,,,,,,,,,,,,,
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Maryland,MD,0.065792993,0.070015221,0.057200929,0.069738088,0.098180768,0.071281296,0.092628117,0.087292818,0.079321486,0.061177249,0.068609023,0.074343823,0.047407585,0.026117094,,,,,,,,,,,,,,,
Massachusetts,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Michigan,MI,0.087357243,0.096811042,0.096921642,0.094483416,0.100178167,0.077573707,0.11378866,0.119920817,0.130445256,0.091508501,0.092330941,0.117746914,0.077836574,0.047756546,,,,,,,,,,,,,,,
Minnesota,MN,0.15387674,0.136220472,0.166437729,0.142706243,0.193578745,0.134598489,0.191483385,0.191356815,0.1929979,0.153014981,0.140137413,0.176654697,0.11691811,0.103867943,,,,,,,,,,,,,,,
Mississippi,MS,0.025647805,0.029981335,0.045984213,0.032918227,0.032464795,0.021179625,0.022102378,0.066003249,0.065177591,0.046496441,0.043857674,0.050618931,0.040607932,0.024596826,,,,,,,,,,,,,,,
Missouri,MO,0.117281304,0.122608696,0.102054292,0.102261722,0.118278392,0.102316949,0.116194248,0.132715463,0.128862479,0.09021197,0.088352958,0.109777015,0.063082984,0.041422016,,,,,,,,,,,,,,,
Montana,MT,0.002129307,0.002315302,0.001745539,0.001871608,0.002030615,0.001534919,0.002200059,0.00309374,0.004035247,0.003098107,0.003290898,0.003029963,0.003168138,0.002032156,,,,,,,,,,,,,,,
Nebraska,NE,0.227664155,0.205864082,0.227416376,0.193776978,0.266737694,0.2169968,0.251690757,0.26471584,0.271435679,0.211255983,0.201781321,0.250573784,0.163320615,0.115659411,,,,,,,,,,,,,,,
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
New Hampshire,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
New Jersey,NJ,0.006455997,0.009813875,0.006747638,0.006420546,0.012101911,0.009133765,0.010640993,0.015859222,0.019942434,0.013064659,0.014537902,0.018407144,0.013096674,0.008145363,,,,,,,,,,,,,,,
New Mexico,NM,0.020700637,0.014501697,0.015277778,0.01411161,0.016688062,0.011948791,0.012963443,0.01416144,0.021983914,0.018170158,0.013987066,0.014300306,0.009432634,0.005076142,,,,,,,,,,,,,,,
New York,NY,0.028706395,0.027094474,0.032410779,0.033333333,0.04216661,0.032820675,0.0415928,0.058968851,0.063980706,0.057914717,0.051601031,0.068297393,0.042297747,0.028356546,,,,,,,,,,,,,,,
North Carolina,NC,0.023062483,0.027380441,0.025744462,0.029736051,0.032919289,0.025626456,0.035835376,0.046857464,0.034114416,0.022923699,0.024345688,0.026631235,0.021453831,0.015899492,,,,,,,,,,,,,,,
North Dakota,ND,0.040059624,0.031669948,0.039749752,0.036612652,0.047126665,0.033155792,0.057577602,0.052030955,0.075771879,0.061072953,0.043430393,0.062476846,0.048760955,0.044902349,,,,,,,,,,,,,,,
Ohio,OH,0.145153971,0.137655582,0.134009392,0.117059947,0.152942474,0.114225771,0.169368278,0.155509257,0.161774951,0.109473341,0.111614173,0.13494225,0.087845242,0.066484579,,,,,,,,,,,,,,,
Oklahoma,OK,0.023561173,0.01760385,0.011942099,0.010886968,0.016635475,0.014308269,0.017917995,0.020320247,0.021664316,0.021191938,0.017370356,0.016266414,0.009377847,0.011132873,,,,,,,,,,,,,,,
Oregon,OR,0.002890173,0.001953316,0.001793249,0.002124123,0.002489912,0.001626991,0.001996833,0.002909267,0.003655999,0.003163469,0.004219683,0.005929154,0.004364621,0.00191646,,,,,,,,,,,,,,,
Pennsylvania,PA,0.04945328,0.04913976,0.040878123,0.039358775,0.077726218,0.046729969,0.075735508,0.0845802,0.069995051,0.047873393,0.061620469,0.053834702,0.043201436,0.026863905,,,,,,,,,,,,,,,
Rhode Island,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
South Carolina,SC,0.024325909,0.028039903,0.0253125,0.022979798,0.034624146,0.029370629,0.038947586,0.058045977,0.041319983,0.037649653,0.04,0.03532519,0.03045848,0.022005693,,,,,,,,,,,,,,,
South Dakota,SD,0.130831643,0.136748518,0.155286535,0.130165913,0.173301407,0.1384547,0.161255411,0.149587156,0.178913548,0.153584359,0.137650159,0.173739337,0.120210245,0.081361616,,,,,,,,,,,,,,,
Tennessee,TN,0.066995479,0.06809977,0.065518406,0.054493897,0.074832835,0.050138504,0.05648855,0.075884244,0.063449433,0.047868742,0.044464388,0.06017891,0.042663095,0.032115467,,,,,,,,,,,,,,,
Texas,TX,0.047626047,0.03117044,0.027263319,0.030700033,0.045654808,0.025621539,0.038799449,0.041494592,0.056689619,0.047365164,0.041410633,0.024037148,0.027405128,0.021815525,,,,,,,,,,,,,,,
Utah,UT,0.008393956,0.006289308,0.006040637,0.00554995,0.005792522,0.003683241,0.005261028,0.007318696,0.008527132,0.008276358,0.007829374,0.010711399,0.008917714,0.006409048,,,,,,,,,,,,,,,
Vermont,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Virginia,VA,0.037595582,0.044092466,0.03127715,0.030531543,0.054715898,0.039766302,0.043349065,0.0421947,0.040423905,0.033482699,0.025631981,0.035759551,0.023813559,0.014824121,,,,,,,,,,,,,,,
Washington,WA,0.006961364,0.005170495,0.004588058,0.00442504,0.005753674,0.004710633,0.004687271,0.006669478,0.008458739,0.006539407,0.007376324,0.007564878,0.004592394,0.002618789,,,,,,,,,,,,,,,
West Virginia,WV,0.022364217,0.026627219,0.027491409,0.025974026,0.036231884,0.02519685,0.027576197,0.029375765,0.028933092,0.022367195,0.021853147,0.025735294,0.018844221,0.014510278,,,,,,,,,,,,,,,
Wisconsin,WI,0.175081348,0.132893025,0.157639681,0.144727714,0.150997391,0.116234543,0.178035557,0.150768263,0.144825928,0.100429975,0.115002366,0.149338436,0.093556573,0.061991428,,,,,,,,,,,,,,,
Wyoming,WY,0.023611997,0.020746888,0.018131102,0.017763158,0.030541012,0.02358888,0.026297086,0.032376298,0.025444265,0.020131291,0.019524317,0.023492561,0.018312102,0.008911368,,,,,,,,,,,,,,,
